Record,Processing Step,Step Attribute,Attribute Value
CE.58442..HNE_nc73291880_default,Lowpass Filter,corner_frequency,46.009382531243716
CE.58442..HNE_nc73291880_default,Lowpass Filter,filter_order,5
CE.58442..HNE_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
CE.58442..HNE_nc73291880_default,Lowpass Filter,number_of_passes,1
CE.58442..HNE_nc73291880_default,Detrend,detrending_method,pre
CE.58442..HNE_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,linear
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,demean
CE.58442..HNN_nc73291880_default,Remove Response,input_units,counts
CE.58442..HNN_nc73291880_default,Remove Response,method,remove_response
CE.58442..HNN_nc73291880_default,Remove Response,output_units,cm/s^2
CE.58442..HNN_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 90.0, 100.0)"
CE.58442..HNN_nc73291880_default,Remove Response,water_level,60
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,linear
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,demean
CE.58442..HNN_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:17.000000Z
CE.58442..HNN_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
CE.58442..HNN_nc73291880_default,Taper,side,both
CE.58442..HNN_nc73291880_default,Taper,taper_width,0.05
CE.58442..HNN_nc73291880_default,Taper,window_type,Hann
CE.58442..HNN_nc73291880_default,Highpass Filter,corner_frequency,0.23066262918545513
CE.58442..HNN_nc73291880_default,Highpass Filter,filter_order,5
CE.58442..HNN_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
CE.58442..HNN_nc73291880_default,Highpass Filter,number_of_passes,1
CE.58442..HNN_nc73291880_default,Lowpass Filter,corner_frequency,46.009382531243716
CE.58442..HNN_nc73291880_default,Lowpass Filter,filter_order,5
CE.58442..HNN_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
CE.58442..HNN_nc73291880_default,Lowpass Filter,number_of_passes,1
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,pre
CE.58442..HNN_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,linear
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,demean
CE.58442..HNZ_nc73291880_default,Remove Response,input_units,counts
CE.58442..HNZ_nc73291880_default,Remove Response,method,remove_response
CE.58442..HNZ_nc73291880_default,Remove Response,output_units,cm/s^2
CE.58442..HNZ_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 90.0, 100.0)"
CE.58442..HNZ_nc73291880_default,Remove Response,water_level,60
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,linear
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,demean
CE.58442..HNZ_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:17.000000Z
CE.58442..HNZ_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
CE.58442..HNZ_nc73291880_default,Taper,side,both
CE.58442..HNZ_nc73291880_default,Taper,taper_width,0.05
CE.58442..HNZ_nc73291880_default,Taper,window_type,Hann
CE.58442..HNZ_nc73291880_default,Highpass Filter,corner_frequency,0.038669760247486466
CE.58442..HNZ_nc73291880_default,Highpass Filter,filter_order,5
CE.58442..HNZ_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
CE.58442..HNZ_nc73291880_default,Highpass Filter,number_of_passes,1
CE.58442..HNZ_nc73291880_default,Lowpass Filter,corner_frequency,54.33674312630288
CE.58442..HNZ_nc73291880_default,Lowpass Filter,filter_order,5
CE.58442..HNZ_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
CE.58442..HNZ_nc73291880_default,Lowpass Filter,number_of_passes,1
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,pre
CE.58442..HNZ_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NC.C010.01.HNE_nc73291880_default,Cut,new_end_time,2019-10-15T05:36:50.000000Z
NC.C010.01.HNE_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,linear
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,demean
NC.C010.01.HNE_nc73291880_default,Remove Response,input_units,counts
NC.C010.01.HNE_nc73291880_default,Remove Response,method,remove_response
NC.C010.01.HNE_nc73291880_default,Remove Response,output_units,cm/s^2
NC.C010.01.HNE_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 90.0, 100.0)"
NC.C010.01.HNE_nc73291880_default,Remove Response,water_level,60
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,linear
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,demean
NC.C010.01.HNE_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:05.000000Z
NC.C010.01.HNE_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NC.C010.01.HNE_nc73291880_default,Taper,side,both
NC.C010.01.HNE_nc73291880_default,Taper,taper_width,0.05
NC.C010.01.HNE_nc73291880_default,Taper,window_type,Hann
NC.C010.01.HNE_nc73291880_default,Highpass Filter,corner_frequency,0.21671278751325093
NC.C010.01.HNE_nc73291880_default,Highpass Filter,filter_order,5
NC.C010.01.HNE_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NC.C010.01.HNE_nc73291880_default,Highpass Filter,number_of_passes,1
NC.C010.01.HNE_nc73291880_default,Lowpass Filter,corner_frequency,51.763246192068806
NC.C010.01.HNE_nc73291880_default,Lowpass Filter,filter_order,5
NC.C010.01.HNE_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NC.C010.01.HNE_nc73291880_default,Lowpass Filter,number_of_passes,1
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,pre
NC.C010.01.HNE_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NC.C010.01.HNE_nc73291880_unprocessed,Cut,new_end_time,2019-10-15T05:36:50.000000Z
NC.C010.01.HNE_nc73291880_unprocessed,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NC.C010.01.HNN_nc73291880_default,Cut,new_end_time,2019-10-15T05:36:50.000000Z
NC.C010.01.HNN_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NC.C010.01.HNN_nc73291880_default,Detrend,detrending_method,linear
