IMT,IMC,Data,Transform1,Transform2,Rotation,Transform3,Combination1,Reduction,Combination2
FAS,GREATER_OF_TWO_HORIZONTALS,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,FFT,NULL_COMBINATION,SMOOTH_SELECT,GREATER_OF_TWO_HORIZONTALS
ARIAS,ARITHMETIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,ARITHMETIC_MEAN
ARIAS,ARITHMETIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,ARITHMETIC_MEAN
ARIAS,QUADRATIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,QUADRATIC_MEAN
ARIAS,QUADRATIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,QUADRATIC_MEAN
ARIAS,CHANNELS,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,NULL_COMBINATION
ARIAS,CHANNELS,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,NULL_COMBINATION
ARIAS,GREATER_OF_TWO_HORIZONTALS,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,GREATER_OF_TWO_HORIZONTALS
ARIAS,GREATER_OF_TWO_HORIZONTALS,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,GREATER_OF_TWO_HORIZONTALS
ARIAS,RADIAL_TRANSVERSE,acc,NULL_TRANSFORM,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,NULL_COMBINATION
ARIAS,RADIAL_TRANSVERSE,vel,DIFFERENTIATE,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,NULL_COMBINATION
ARIAS,GEOMETRIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,GEOMETRIC_MEAN
ARIAS,GEOMETRIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,ARIAS,GEOMETRIC_MEAN
SA,ROTD,acc,NULL_TRANSFORM,NULL_TRANSFORM,ROTD,OSCILLATOR,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
SA,ROTD,vel,DIFFERENTIATE,NULL_TRANSFORM,ROTD,OSCILLATOR,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
SA,GMROTD,acc,NULL_TRANSFORM,OSCILLATOR,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
SA,GMROTD,vel,DIFFERENTIATE,OSCILLATOR,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
SA,CHANNELS,acc,NULL_TRANSFORM,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
SA,CHANNELS,vel,DIFFERENTIATE,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
SA,GEOMETRIC_MEAN,acc,NULL_TRANSFORM,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
SA,GEOMETRIC_MEAN,vel,DIFFERENTIATE,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
SA,QUADRATIC_MEAN,acc,NULL_TRANSFORM,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
SA,QUADRATIC_MEAN,vel,DIFFERENTIATE,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
SA,ARITHMETIC_MEAN,acc,NULL_TRANSFORM,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
SA,ARITHMETIC_MEAN,vel,DIFFERENTIATE,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
SA,RADIAL_TRANSVERSE,acc,NULL_TRANSFORM,OSCILLATOR,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
SA,RADIAL_TRANSVERSE,vel,DIFFERENTIATE,OSCILLATOR,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
SA,GREATER_OF_TWO_HORIZONTALS,acc,NULL_TRANSFORM,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
SA,GREATER_OF_TWO_HORIZONTALS,vel,DIFFERENTIATE,OSCILLATOR,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
PGA,ROTD,acc,NULL_TRANSFORM,NULL_TRANSFORM,ROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGA,ROTD,vel,DIFFERENTIATE,NULL_TRANSFORM,ROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGA,GMROTD,acc,NULL_TRANSFORM,NULL_TRANSFORM,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGA,GMROTD,vel,DIFFERENTIATE,NULL_TRANSFORM,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGA,CHANNELS,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGA,CHANNELS,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGA,GEOMETRIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
PGA,GEOMETRIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
PGA,QUADRATIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
PGA,QUADRATIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
PGA,ARITHMETIC_MEAN,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
