EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,Network,DataProvider,StationCode,StationID,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,BackAzimuth,EpicentralDistance,HypocentralDistance,SourceFile,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_rx,GC2_ry,GC2_ry0,GC2_U,GC2_T,H1Lowpass,H1Highpass,H2Lowpass,H2Highpass,DURATION5-75,DURATION5-95,PGA,PGV,SA(0.010),SA(0.020),SA(0.030),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),SORTED_DURATION
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK,NCEDC,BRIB,BK.BRIB.01.HNN,"Briones Reserve, Orinda, CA, USA",37.91932,-122.15269,237.00,100,76.13,8.66,16.63,BK.BRIB.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,15.35,0.34,7.73,0.43,nan,nan,nan,nan,nan,37.50000,0.07932,37.50000,0.07932,6.10000000E-01,3.58000000E+00,5.84134630E+00,2.12263450E+00,5.89169910E+00,5.98566720E+00,6.21845280E+00,6.21876110E+00,9.46694190E+00,8.77155610E+00,1.71255250E+01,1.19190110E+01,4.64636330E+00,4.68006210E+00,4.81021800E+00,7.00690070E+00,3.08611760E+00,1.62862030E+00,5.47467120E-01,3.55554350E-01,1.74111010E-01,1.02976180E-01,6.92911460E-02,3.54041880E-02,2.27612340E-02,6.10000000E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58360,CE.58360..HNN,Walnut Creek - Civic & Broadway,37.90360,-122.06030,40.00,200,4.34,3.83,14.53,CE.58360..HNE__20191015T053312Z__20191015T054042Z.mseed,13.43,0.29,2.95,0.38,nan,nan,nan,nan,nan,75.00000,0.13248,75.00000,0.13248,7.10000000E-01,4.28000000E+00,7.61029500E+00,2.90222040E+00,7.64135780E+00,7.64911320E+00,7.68863820E+00,8.22226140E+00,1.09193190E+01,1.09475150E+01,1.90258550E+01,2.57163590E+01,1.35466510E+01,6.52573790E+00,5.17713250E+00,4.38973570E+00,2.68361910E+00,1.33285730E+00,5.40484030E-01,2.85430530E-01,1.61685300E-01,1.02677980E-01,6.99682060E-02,3.48360090E-02,2.19179120E-02,5.75000000E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58369,CE.58369..HNN,Walnut Creek - Walnut & Cheyenne,37.91470,-122.01680,52.00,200,306.21,4.38,14.69,CE.58369..HNZ__20191015T053312Z__20191015T054042Z.mseed,13.57,0.29,3.49,0.40,nan,nan,nan,nan,nan,39.41090,0.14768,39.41090,0.14768,2.17000000E+00,6.56500000E+00,4.98542540E+00,2.85756750E+00,5.03348330E+00,5.14970650E+00,5.36097680E+00,6.79133730E+00,9.19988620E+00,1.73055650E+01,1.40202430E+01,1.07882680E+01,9.74744370E+00,5.17611570E+00,3.81048320E+00,4.35724560E+00,3.97874050E+00,3.07634540E+00,1.29280270E+00,6.40418860E-01,2.20412070E-01,1.20967110E-01,8.31827970E-02,4.15960470E-02,2.60228450E-02,2.13500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58442,CE.58442..HNN,Moraga - Rheem & Moraga,37.85630,-122.12410,286.00,200,33.04,10.82,17.90,CE.58442..HNN__20191015T053312Z__20191015T054042Z.mseed,16.62,0.36,9.88,0.43,nan,nan,nan,nan,nan,46.00938,0.23066,46.00938,0.23066,1.89500000E+00,7.96500000E+00,1.86752910E+00,5.37769620E-01,1.87467150E+00,1.89138590E+00,1.93196210E+00,2.12860540E+00,2.55329340E+00,3.52392610E+00,6.23112620E+00,5.07680300E+00,4.14351170E+00,3.51132230E+00,1.92875810E+00,9.60625600E-01,4.96941960E-01,3.64164040E-01,1.73969840E-01,8.63316790E-02,2.39072980E-02,1.65294190E-02,1.06324160E-02,5.40492430E-03,3.73825570E-03,1.46500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C010,NC.C010.01.HNN,Sunflower Ct Concord,37.94400,-122.00993,51.00,200,260.86,4.19,14.63,NC.C010.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,13.52,0.29,3.30,0.39,nan,nan,nan,nan,nan,51.76325,0.21671,51.76325,0.21671,2.66500000E+00,7.33500000E+00,4.28457110E+00,1.18965830E+00,4.36772900E+00,4.76836710E+00,5.15159420E+00,6.44326040E+00,1.49279130E+01,1.51211780E+01,8.64256640E+00,4.58579620E+00,3.05969210E+00,3.03048910E+00,3.57358450E+00,2.78402850E+00,1.59760310E+00,8.68880170E-01,2.80118700E-01,1.42625320E-01,7.57495800E-02,4.76565300E-02,3.29069610E-02,1.67904710E-02,1.08423160E-02,2.66500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C018,NC.C018.01.HNN,Christie Dr Martinez,37.97930,-122.11738,90.00,200,130.80,7.01,15.71,NC.C018.01.HNE__20191015T053312Z__20191015T054042Z.mseed,14.57,0.32,6.09,0.42,nan,nan,nan,nan,nan,75.00000,0.23227,75.00000,0.23227,1.90000000E+00,3.91500000E+00,1.00523020E+01,4.17507090E+00,1.00664740E+01,1.02221150E+01,1.01192550E+01,1.14248730E+01,1.64959240E+01,2.53627240E+01,1.87590190E+01,3.77953130E+01,4.33179510E+01,2.60963180E+01,1.14483910E+01,7.99097370E+00,3.11415400E+00,1.78997130E+00,7.57261610E-01,4.34785930E-01,2.09871470E-01,1.30155800E-01,9.25212840E-02,5.09871810E-02,3.46472620E-02,1.70000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CRH,NC.CRH..HNN,Round Hill Res,37.85884,-121.99264,259.00,100,327.23,10.45,17.66,NC.CRH..HNZ__20191015T053312Z__20191015T054042Z.mseed,16.40,0.36,9.52,0.43,nan,nan,nan,nan,nan,37.50000,0.12023,37.50000,0.12023,4.67000000E+00,7.75000000E+00,2.73046640E+00,1.51292430E+00,2.80530180E+00,2.84737830E+00,2.92606690E+00,3.09481460E+00,5.53272310E+00,8.71299480E+00,7.02042970E+00,6.90587960E+00,1.16845870E+01,7.53238580E+00,3.95141970E+00,2.14830300E+00,2.13662050E+00,1.61957540E+00,8.55459290E-01,4.89387930E-01,1.70524190E-01,7.91076720E-02,5.31433620E-02,2.56709150E-02,1.54104830E-02,3.09000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CTA,NC.CTA..HNN,Taylor,38.02691,-122.01599,152.00,100,200.07,10.51,17.61,NC.CTA..HNE__20191015T053312Z__20191015T054042Z.mseed,16.44,0.36,9.57,0.43,nan,nan,nan,nan,nan,36.60214,0.18223,36.60214,0.18223,4.37000000E+00,9.39000000E+00,5.09075280E+00,2.43217060E+00,5.09744610E+00,5.11496090E+00,5.15110410E+00,5.37618560E+00,6.66151460E+00,7.29884780E+00,1.22917090E+01,1.60774180E+01,1.08366060E+01,7.26102990E+00,7.25964790E+00,5.27514280E+00,3.97839210E+00,1.80503970E+00,5.20664150E-01,2.79812220E-01,1.55474850E-01,9.18263120E-02,5.87070750E-02,2.95083870E-02,2.02260800E-02,3.62000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1844,NP.1844..HNN,Contra Costa FS 4,37.88520,-122.03217,62.00,200,339.57,6.25,15.37,NP.1844..HNE__20191015T053312Z__20191015T054042Z.mseed,14.23,0.31,5.34,0.42,nan,nan,nan,nan,nan,75.00000,0.16424,75.00000,0.16424,7.10000000E-01,4.36500000E+00,7.30391270E+00,2.39332150E+00,7.44073390E+00,7.55046040E+00,7.61338750E+00,7.45638260E+00,1.03013500E+01,1.09622340E+01,1.79516930E+01,2.15031650E+01,2.12885200E+01,1.46128740E+01,6.96191920E+00,4.29206710E+00,2.84619580E+00,2.33358060E+00,9.69309750E-01,5.56674600E-01,1.92847420E-01,1.24676020E-01,8.56619020E-02,4.23782350E-02,2.63532620E-02,7.05000000E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1847,NP.1847.10.HNN,Contra C FS14 Martinez,38.01286,-122.13458,6.00,100,140.61,10.75,17.63,NP.1847.10.HNZ__20191015T053312Z__20191015T054042Z.mseed,16.58,0.36,9.81,0.43,nan,nan,nan,nan,nan,37.50000,0.11613,37.50000,0.11613,2.45000000E+00,5.80000000E+00,1.22137240E+01,5.40162130E+00,1.23523270E+01,1.25537410E+01,1.29173070E+01,1.45752730E+01,1.91835850E+01,2.46227980E+01,3.87817830E+01,2.94132730E+01,2.07410530E+01,2.15308900E+01,1.53320810E+01,2.05046990E+01,5.75752840E+00,2.94092650E+00,1.04713320E+00,5.19456760E-01,2.53938870E-01,1.62014120E-01,1.15821670E-01,6.63809070E-02,4.57711570E-02,2.44000000E+00
