#Earthquake Information
#Origin Time(GMT+08): 2021/04/18-22:11:39
#EpicenterLongitude(E): 121.49
#EpicenterLatitude(N): 23.87
#Depth(km): 15.0
#Magnitude(Ml): 5.8

#Station Information
#StationCode: SPT
#StationName: Pingtung City
#StationLongitude(E): 120.488
#StationLatitude(N): 22.678
#InstrumentKind: FBA
#StartTime(GMT+08): 2021/04/18-22:11:30.000
#RecordLength(sec): 110
#SampleRate(Hz): 100
#AmplitudeUnit:  gal. DCoffset(corr)
#AmplitudeMAX. U:    0.634~   -0.755
#AmplitudeMAX. N:    1.067~   -1.791
#AmplitudeMAX. E:    1.028~   -1.149
#DataSequence: Time U(+); N(+); E(+)
#Data: 4F10.3 
     1.320    -0.017     0.007    -0.006
     1.330     0.017    -0.001    -0.003
     1.340     0.036    -0.004     0.012
     1.350     0.019    -0.002     0.016
     1.360     0.002     0.003     0.004
     1.370    -0.014     0.003    -0.014
     1.380    -0.024    -0.004    -0.019
     1.390    -0.017    -0.003    -0.010
     1.400    -0.012     0.002     0.004
     1.410    -0.006     0.002     0.008
     1.420     0.001     0.003     0.012
     1.430     0.001     0.000     0.012
     1.440     0.003    -0.003    -0.004
     1.450     0.007     0.002    -0.011
     1.460     0.008     0.002    -0.006
     1.470    -0.007    -0.002    -0.002
     1.480    -0.019     0.005    -0.005
     1.490    -0.007     0.011    -0.007
     1.500     0.003     0.004     0.003
     1.510     0.010    -0.006     0.007
     1.520     0.010    -0.003     0.010
     1.530    -0.008     0.005     0.003
     1.540    -0.016     0.011    -0.008
     1.550    -0.013     0.010    -0.006
     1.560    -0.008    -0.003    -0.001
     1.570     0.003    -0.011    -0.002
     1.580     0.027    -0.004     0.002
     1.590     0.018     0.009     0.007
     1.600    -0.016     0.005    -0.003
     1.610    -0.020     0.000    -0.010
     1.620    -0.007     0.005    -0.004
     1.630     0.003     0.003     0.002
     1.640    -0.004     0.001    -0.004
     1.650     0.002    -0.005    -0.013
     1.660     0.010    -0.006     0.004
     1.670     0.002     0.004     0.012
     1.680     0.002     0.002     0.007
     1.690     0.008     0.000     0.008
     1.700     0.001     0.007    -0.001
     1.710    -0.014     0.006    -0.005
     1.720    -0.002     0.001    -0.006
     1.730     0.006     0.001    -0.010
     1.740    -0.006     0.006    -0.004
     1.750    -0.011     0.003     0.011
     1.760    -0.003     0.003     0.013
     1.770     0.001     0.006    -0.002
     1.780    -0.010     0.000    -0.015
     1.790    -0.017    -0.002    -0.016
     1.800    -0.007    -0.003    -0.008
     1.810     0.007     0.003    -0.003
     1.820     0.013     0.018     0.007
     1.830    -0.002     0.012     0.017
     1.840    -0.016    -0.001     0.012
     1.850    -0.010    -0.004    -0.008
     1.860    -0.002    -0.002    -0.013
     1.870    -0.001     0.000    -0.012
     1.880     0.001    -0.003    -0.016
     1.890     0.017     0.000     0.000
     1.900     0.015     0.003     0.021
     1.910    -0.010     0.004     0.012
     1.920    -0.004    -0.001    -0.005
     1.930     0.009    -0.004    -0.003
     1.940     0.016     0.003    -0.004
     1.950     0.014     0.005    -0.005
     1.960    -0.015     0.004    -0.001
     1.970    -0.034     0.001     0.000
     1.980    -0.020    -0.002     0.003
     1.990     0.002     0.001     0.002
     2.000     0.015     0.003     0.003
     2.010     0.017     0.006    -0.005
     2.020     0.010     0.014    -0.006
     2.030     0.001     0.011     0.005
     2.040    -0.014     0.002     0.006
     2.050    -0.021    -0.008    -0.003
     2.060    -0.004    -0.014    -0.010
     2.070     0.012     0.002    -0.005
     2.080     0.001     0.015    -0.003
     2.090    -0.014     0.013    -0.006
     2.100    -0.008     0.005    -0.001
     2.110     0.000    -0.006     0.002
     2.120     0.006    -0.008    -0.007
     2.130     0.015    -0.003    -0.001
     2.140     0.008     0.003     0.000
     2.150    -0.004     0.005    -0.013
     2.160    -0.003     0.006    -0.006
     2.170    -0.007     0.006     0.007
     2.180    -0.006    -0.001     0.008
     2.190     0.000    -0.007     0.003
     2.200     0.001    -0.005    -0.006
     2.210    -0.001     0.010    -0.009
     2.220    -0.002     0.012    -0.003
     2.230    -0.001     0.005     0.007
     2.240    -0.002     0.001     0.005
     2.250     0.003    -0.007    -0.006
     2.260     0.015    -0.006    -0.004
     2.270     0.013     0.003     0.005
     2.280    -0.007     0.008     0.009
     2.290    -0.013     0.002     0.006
     2.300    -0.005     0.000    -0.004
     2.310    -0.007     0.006    -0.004
     2.320    -0.012     0.004    -0.003
     2.330    -0.009     0.002    -0.010
     2.340     0.000     0.004    -0.002
     2.350     0.000     0.004     0.003
     2.360     0.009    -0.007    -0.002
     2.370     0.020    -0.010    -0.002
     2.380     0.014     0.002    -0.001
     2.390     0.000     0.008     0.006
     2.400    -0.017     0.008     0.013
     2.410    -0.020     0.001     0.004
     2.420    -0.011    -0.010    -0.012
     2.430     0.013    -0.007    -0.015
     2.440     0.015     0.004    -0.007
     2.450    -0.005     0.007     0.002
     2.460    -0.005     0.002     0.008
     2.470    -0.009     0.005     0.010
     2.480    -0.011     0.005     0.002
     2.490    -0.003    -0.005    -0.012
     2.500     0.013    -0.005    -0.012
     2.510     0.022     0.006     0.001
     2.520     0.003     0.012     0.005
     2.530    -0.010     0.010    -0.005
     2.540    -0.012     0.001    -0.003
     2.550    -0.008    -0.001    -0.003
