#Earthquake Information
#Origin Time(GMT+08): 2021/04/18-22:11:39
#EpicenterLongitude(E): 121.49
#EpicenterLatitude(N): 23.87
#Depth(km): 15.0
#Magnitude(Ml): 5.8

#Station Information
#StationCode: KAU
#StationName: Kaohsiung City
#StationLongitude(E): 120.316
#StationLatitude(N): 22.566
#InstrumentKind: FBA
#StartTime(GMT+08): 2021/04/18-22:11:30.000
#RecordLength(sec): 110
#SampleRate(Hz): 100
#AmplitudeUnit:  gal. DCoffset(corr)
#AmplitudeMAX. U:    0.841~   -0.759
#AmplitudeMAX. N:    1.565~   -1.487
#AmplitudeMAX. E:    1.836~   -1.395
#DataSequence: Time U(+); N(+); E(+)
#Data: 4F10.3 
     0.000    -0.005    -0.035     0.050
     0.010    -0.029    -0.072     0.024
     0.020    -0.033    -0.077    -0.042
     0.030    -0.079     0.047     0.028
     0.040    -0.014     0.151     0.024
     0.050    -0.093     0.091     0.055
     0.060    -0.127     0.047     0.061
     0.070    -0.081    -0.007    -0.027
     0.080    -0.102     0.074     0.013
     0.090     0.012     0.167     0.017
     0.100    -0.031     0.047     0.027
     0.110    -0.077    -0.034     0.005
     0.120    -0.016    -0.106    -0.079
     0.130    -0.038    -0.086    -0.018
     0.140     0.040     0.029     0.000
     0.150    -0.006     0.002    -0.004
     0.160    -0.019     0.002    -0.022
     0.170     0.059     0.010    -0.087
     0.180     0.047     0.053    -0.013
     0.190     0.129     0.087     0.040
     0.200     0.052    -0.045     0.078
     0.210    -0.006    -0.124     0.078
     0.220     0.047    -0.178    -0.032
     0.230     0.006    -0.124     0.008
     0.240     0.069    -0.003     0.034
     0.250    -0.006    -0.036     0.015
     0.260    -0.072    -0.037     0.020
     0.270     0.015    -0.055    -0.079
     0.280    -0.001     0.004    -0.055
     0.290     0.048     0.107    -0.012
     0.300    -0.012     0.014    -0.005
     0.310    -0.125    -0.042     0.031
     0.320    -0.081    -0.028    -0.038
     0.330    -0.094     0.047    -0.013
     0.340    -0.022     0.166     0.008
     0.350    -0.020     0.131    -0.027
     0.360    -0.082     0.036    -0.044
     0.370     0.012    -0.025    -0.129
     0.380     0.013     0.010    -0.073
     0.390     0.079     0.080    -0.008
     0.400     0.083    -0.017     0.014
     0.410    -0.036    -0.119     0.077
     0.420     0.030    -0.121    -0.012
     0.430     0.033    -0.022    -0.018
     0.440     0.077     0.148     0.021
     0.450     0.106     0.095    -0.002
     0.460     0.015    -0.056     0.045
     0.470     0.042    -0.141    -0.006
     0.480     0.010    -0.121     0.004
     0.490     0.034     0.039     0.031
     0.500     0.041     0.050    -0.009
     0.510    -0.046    -0.032     0.025
     0.520    -0.017    -0.078    -0.057
     0.530    -0.064    -0.054    -0.064
     0.540    -0.054     0.068    -0.005
     0.550    -0.032     0.062     0.010
     0.560    -0.098    -0.006     0.096
     0.570    -0.060    -0.057     0.040
     0.580    -0.088    -0.024     0.009
     0.590    -0.022     0.130    -0.009
     0.600     0.057     0.114    -0.068
     0.610    -0.044     0.011    -0.005
     0.620     0.006    -0.042    -0.064
     0.630    -0.005    -0.040    -0.077
     0.640    -0.011     0.088    -0.004
     0.650     0.087     0.091    -0.013
     0.660     0.027    -0.029     0.042
     0.670     0.040    -0.096     0.022
     0.680     0.024    -0.103     0.008
     0.690     0.030     0.017     0.025
     0.700     0.085     0.047    -0.030
     0.710     0.007    -0.029    -0.010
     0.720     0.056    -0.073    -0.081
     0.730     0.074    -0.062    -0.106
     0.740     0.085     0.061    -0.034
     0.750     0.134     0.074    -0.069
     0.760     0.055     0.025    -0.013
     0.770     0.064    -0.013    -0.017
     0.780     0.027    -0.031    -0.022
     0.790    -0.015     0.076     0.045
     0.800    -0.001     0.054    -0.014
     0.810    -0.082    -0.045     0.046
     0.820    -0.074    -0.093     0.064
     0.830    -0.091    -0.088     0.047
     0.840    -0.103     0.047     0.085
     0.850    -0.046     0.130    -0.013
     0.860    -0.082     0.077    -0.018
     0.870    -0.026    -0.016    -0.011
     0.880    -0.018    -0.046     0.027
     0.890    -0.051     0.043     0.087
     0.900     0.011     0.080    -0.018
     0.910    -0.063     0.009    -0.036
     0.920    -0.052    -0.048    -0.069
     0.930    -0.001    -0.067    -0.101
     0.940    -0.019     0.015    -0.010
     0.950     0.036     0.076    -0.007
     0.960    -0.039     0.023     0.015
     0.970    -0.031     0.009    -0.012
     0.980     0.012     0.005    -0.044
     0.990    -0.019     0.083     0.027
     1.000     0.072     0.115    -0.038
     1.010     0.032    -0.018    -0.028
     1.020     0.050    -0.082     0.043
     1.030     0.091    -0.093     0.059
     1.040     0.029    -0.014     0.142
     1.050     0.092     0.036     0.073
     1.060     0.056    -0.040     0.007
     1.070     0.053    -0.103    -0.021
     1.080     0.060    -0.110    -0.057
     1.090    -0.033     0.015     0.028
     1.100    -0.006     0.098    -0.029
     1.110    -0.041     0.081    -0.028
     1.120    -0.048     0.041     0.021
     1.130    -0.038    -0.018    -0.020
     1.140    -0.098     0.037     0.049
     1.150    -0.056     0.069     0.012
     1.160    -0.095    -0.019     0.002
     1.170    -0.082    -0.093     0.017
     1.180    -0.043    -0.093    -0.042
     1.190    -0.056    -0.017     0.023
     1.200     0.081     0.018     0.002
     1.210     0.078    -0.045     0.016
     1.220     0.088    -0.073     0.029
     1.230     0.154    -0.016    -0.102
     1.240     0.110     0.120    -0.114
     1.250     0.184     0.181    -0.136
     1.260     0.093     0.047    -0.062
     1.270    -0.029    -0.090     0.043
     1.280    -0.019    -0.117    -0.023
     1.290    -0.081    -0.002     0.004
     1.300     0.017     0.053    -0.001
