#Earthquake Information
#Origin Time(GMT+08): 2021/04/18-22:11:39
#EpicenterLongitude(E): 121.49
#EpicenterLatitude(N): 23.87
#Depth(km): 15.0
#Magnitude(Ml): 5.8

#Station Information
#StationCode: TAI1
#StationName: Yongkang
#StationLongitude(E): 120.236
#StationLatitude(N): 23.038
#InstrumentKind: FBA
#StartTime(GMT+08): 2021/04/18-22:11:30.000
#RecordLength(sec): 110
#SampleRate(Hz): 100
#AmplitudeUnit:  gal. DCoffset(corr)
#AmplitudeMAX. U:    0.576~   -0.622
#AmplitudeMAX. N:    2.053~   -1.874
#AmplitudeMAX. E:    1.526~   -1.626
#DataSequence: Time U(+); N(+); E(+)
#Data: 4F10.3 
     0.000    -0.004    -0.014    -0.009
     0.010     0.004    -0.023     0.003
     0.020     0.005    -0.017     0.002
     0.030     0.012    -0.010    -0.001
     0.040     0.002     0.004    -0.001
     0.050    -0.012     0.009    -0.007
     0.060    -0.018     0.004    -0.009
     0.070    -0.014    -0.001    -0.006
     0.080    -0.006    -0.002     0.002
     0.090     0.006    -0.003     0.005
     0.100     0.018    -0.008     0.002
     0.110     0.012    -0.002     0.000
     0.120     0.001     0.009     0.000
     0.130    -0.001     0.014    -0.002
     0.140    -0.013     0.009    -0.003
     0.150    -0.016     0.002     0.002
     0.160    -0.005     0.001     0.003
     0.170    -0.003     0.005     0.000
     0.180     0.003     0.005     0.002
     0.190     0.002     0.009    -0.005
     0.200    -0.004     0.009    -0.008
     0.210    -0.009     0.000    -0.007
     0.220    -0.016     0.002    -0.005
     0.230     0.000    -0.002     0.005
     0.240     0.007    -0.010     0.010
     0.250     0.010    -0.001     0.008
     0.260     0.020     0.008     0.002
     0.270     0.007     0.010    -0.008
     0.280    -0.012     0.007    -0.012
     0.290    -0.021     0.001    -0.011
     0.300    -0.011    -0.001    -0.005
     0.310     0.002    -0.002     0.004
     0.320     0.003    -0.002     0.009
     0.330     0.003    -0.001     0.004
     0.340     0.000    -0.003    -0.008
     0.350    -0.002     0.002    -0.012
     0.360    -0.007    -0.005    -0.012
     0.370    -0.018    -0.005    -0.015
     0.380    -0.025     0.002    -0.009
     0.390    -0.019     0.001     0.000
     0.400     0.004     0.010     0.004
     0.410     0.022     0.006     0.009
     0.420     0.013     0.005     0.001
     0.430    -0.008     0.013    -0.004
     0.440    -0.016     0.007     0.000
     0.450    -0.016     0.004     0.001
     0.460    -0.012     0.006     0.009
     0.470    -0.001     0.007     0.010
     0.480     0.009     0.008     0.002
     0.490     0.024     0.017    -0.004
     0.500     0.023     0.020    -0.010
     0.510    -0.003     0.005    -0.007
     0.520    -0.021     0.007     0.008
     0.530    -0.023     0.000     0.018
     0.540    -0.003    -0.013     0.012
     0.550     0.016    -0.007     0.003
     0.560     0.009    -0.013    -0.007
     0.570    -0.005    -0.006    -0.014
     0.580    -0.011     0.004    -0.008
     0.590    -0.012     0.005     0.003
     0.600    -0.013     0.007     0.012
     0.610    -0.010    -0.004     0.014
     0.620    -0.014    -0.002     0.009
     0.630    -0.013    -0.004     0.008
     0.640     0.000    -0.007     0.001
     0.650     0.008     0.004    -0.007
     0.660     0.018     0.002    -0.012
     0.670     0.015     0.001    -0.008
     0.680    -0.002    -0.003     0.002
     0.690    -0.012    -0.002     0.004
     0.700    -0.011     0.005     0.004
     0.710    -0.006     0.009     0.002
     0.720    -0.001     0.011    -0.006
     0.730     0.002     0.005    -0.014
     0.740     0.004     0.011    -0.011
     0.750    -0.002     0.008     0.002
     0.760    -0.022    -0.001     0.011
     0.770    -0.028    -0.007     0.008
     0.780    -0.009    -0.004    -0.005
     0.790     0.016     0.006    -0.012
     0.800     0.030     0.002    -0.010
     0.810     0.015     0.004    -0.007
     0.820    -0.012     0.010    -0.001
     0.830    -0.019     0.009     0.006
     0.840    -0.015     0.001    -0.001
     0.850    -0.006    -0.010    -0.004
     0.860    -0.004    -0.011    -0.002
     0.870    -0.003    -0.007     0.002
     0.880     0.002    -0.003     0.009
     0.890     0.005     0.001     0.005
     0.900     0.011     0.012     0.002
     0.910     0.012     0.016    -0.003
     0.920     0.006     0.001    -0.006
     0.930    -0.009    -0.006     0.002
     0.940    -0.021     0.004     0.012
     0.950    -0.007     0.009     0.021
     0.960     0.007     0.008     0.016
     0.970     0.007     0.013     0.005
     0.980     0.003     0.012     0.002
     0.990    -0.007     0.001     0.000
     1.000    -0.011    -0.010     0.001
     1.010    -0.007    -0.011     0.005
     1.020    -0.003     0.001    -0.002
     1.030    -0.009     0.011    -0.007
     1.040    -0.014     0.013    -0.005
     1.050    -0.008     0.012    -0.001
     1.060    -0.007     0.004     0.004
     1.070     0.001    -0.006     0.001
